match_id,season,city,venue,date,team1,team2,toss_winner,toss_decision,winner
489,2024,Kolkata,"Eden Gardens, Kolkata",2024-04-26,Kolkata Knight Riders,Punjab Kings,Punjab Kings,field,Punjab Kings
490,2024,Delhi,"Arun Jaitley Stadium, Delhi",2024-04-27,Delhi Capitals,Mumbai Indians,Mumbai Indians,field,Delhi Capitals
491,2024,Lucknow,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2024-04-27,Lucknow Super Giants,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals
492,2024,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",2024-04-28,Gujarat Titans,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru
493,2024,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2024-04-28,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Chennai Super Kings
494,2024,Kolkata,"Eden Gardens, Kolkata",2024-04-29,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,bat,Kolkata Knight Riders
495,2024,Lucknow,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2024-04-30,Mumbai Indians,Lucknow Super Giants,Lucknow Super Giants,field,Lucknow Super Giants
496,2024,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2024-05-01,Chennai Super Kings,Punjab Kings,Punjab Kings,field,Punjab Kings
497,2024,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2024-05-02,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,Sunrisers Hyderabad
498,2024,Mumbai,"Wankhede Stadium, Mumbai",2024-05-03,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Kolkata Knight Riders
499,2024,Bengaluru,"M Chinnaswamy Stadium, Bengaluru",2024-05-04,Gujarat Titans,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru
500,2024,Dharamsala,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2024-05-05,Chennai Super Kings,Punjab Kings,Punjab Kings,field,Chennai Super Kings
501,2024,Lucknow,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2024-05-05,Kolkata Knight Riders,Lucknow Super Giants,Lucknow Super Giants,field,Kolkata Knight Riders
502,2024,Mumbai,"Wankhede Stadium, Mumbai",2024-05-06,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,Mumbai Indians
503,2024,Delhi,"Arun Jaitley Stadium, Delhi",2024-05-07,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,Delhi Capitals
504,2024,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2024-05-08,Lucknow Super Giants,Sunrisers Hyderabad,Lucknow Super Giants,bat,Sunrisers Hyderabad
505,2024,Dharamsala,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2024-05-09,Royal Challengers Bengaluru,Punjab Kings,Punjab Kings,field,Royal Challengers Bengaluru
506,2024,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",2024-05-10,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,Gujarat Titans
507,2024,Kolkata,"Eden Gardens, Kolkata",2024-05-11,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Kolkata Knight Riders
508,2024,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2024-05-12,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,Chennai Super Kings
509,2024,Bengaluru,"M Chinnaswamy Stadium, Bengaluru",2024-05-12,Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals,field,Royal Challengers Bengaluru
510,2024,Delhi,"Arun Jaitley Stadium, Delhi",2024-05-14,Delhi Capitals,Lucknow Super Giants,Lucknow Super Giants,field,Delhi Capitals
511,2024,Guwahati,"Barsapara Cricket Stadium, Guwahati",2024-05-15,Rajasthan Royals,Punjab Kings,Rajasthan Royals,bat,Punjab Kings
512,2024,Mumbai,"Wankhede Stadium, Mumbai",2024-05-17,Lucknow Super Giants,Mumbai Indians,Mumbai Indians,field,Lucknow Super Giants
513,2024,Bengaluru,"M Chinnaswamy Stadium, Bengaluru",2024-05-18,Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,field,Royal Challengers Bengaluru
514,2024,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2024-05-19,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,bat,Sunrisers Hyderabad
515,2024,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",2024-05-21,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,Kolkata Knight Riders
516,2024,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",2024-05-22,Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals
517,2024,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2024-05-24,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,Sunrisers Hyderabad
518,2024,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2024-05-26,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,Kolkata Knight Riders
519,2025,Kolkata,"Eden Gardens, Kolkata",2025-03-22,Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru
520,2025,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2025-03-23,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,Sunrisers Hyderabad
521,2025,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2025-03-23,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings
522,2025,Visakhapatnam,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2025-03-24,Lucknow Super Giants,Delhi Capitals,Delhi Capitals,field,Delhi Capitals
523,2025,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",2025-03-25,Punjab Kings,Gujarat Titans,Gujarat Titans,field,Punjab Kings
524,2025,Guwahati,"Barsapara Cricket Stadium, Guwahati",2025-03-26,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders
525,2025,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2025-03-27,Sunrisers Hyderabad,Lucknow Super Giants,Lucknow Super Giants,field,Lucknow Super Giants
526,2025,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2025-03-28,Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,field,Royal Challengers Bengaluru
527,2025,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",2025-03-29,Gujarat Titans,Mumbai Indians,Mumbai Indians,field,Gujarat Titans
528,2025,Visakhapatnam,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2025-03-30,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,bat,Delhi Capitals
529,2025,Guwahati,"Barsapara Cricket Stadium, Guwahati",2025-03-30,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,Rajasthan Royals
530,2025,Mumbai,"Wankhede Stadium, Mumbai",2025-03-31,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Mumbai Indians
531,2025,Lucknow,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2025-04-01,Lucknow Super Giants,Punjab Kings,Punjab Kings,field,Punjab Kings
532,2025,Bengaluru,"M Chinnaswamy Stadium, Bengaluru",2025-04-02,Royal Challengers Bengaluru,Gujarat Titans,Gujarat Titans,field,Gujarat Titans
533,2025,Kolkata,"Eden Gardens, Kolkata",2025-04-03,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Kolkata Knight Riders
534,2025,Lucknow,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2025-04-04,Lucknow Super Giants,Mumbai Indians,Mumbai Indians,field,Lucknow Super Giants
535,2025,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2025-04-05,Delhi Capitals,Chennai Super Kings,Delhi Capitals,bat,Delhi Capitals
536,2025,Mohali,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",2025-04-05,Rajasthan Royals,Punjab Kings,Punjab Kings,field,Rajasthan Royals
537,2025,Kolkata,"Eden Gardens, Kolkata",2025-04-08,Lucknow Super Giants,Kolkata Knight Riders,Kolkata Knight Riders,field,Lucknow Super Giants
538,2025,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2025-04-06,Sunrisers Hyderabad,Gujarat Titans,Gujarat Titans,field,Gujarat Titans
539,2025,Mumbai,"Wankhede Stadium, Mumbai",2025-04-07,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,field,Royal Challengers Bengaluru
540,2025,Mohali,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",2025-04-08,Punjab Kings,Chennai Super Kings,Punjab Kings,bat,Punjab Kings
541,2025,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",2025-04-09,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,field,Gujarat Titans
542,2025,Bengaluru,"M Chinnaswamy Stadium, Bengaluru",2025-04-10,Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals,field,Delhi Capitals
543,2025,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2025-04-11,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders
544,2025,Lucknow,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2025-04-12,Gujarat Titans,Lucknow Super Giants,Lucknow Super Giants,field,Lucknow Super Giants
545,2025,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2025-04-12,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,bat,Sunrisers Hyderabad
546,2025,Jaipur,"Sawai Mansingh Stadium, Jaipur",2025-04-13,Rajasthan Royals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru
547,2025,Delhi,"Arun Jaitley Stadium, Delhi",2025-04-13,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Mumbai Indians
548,2025,Lucknow,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2025-04-14,Lucknow Super Giants,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings
549,2025,Mohali,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",2025-04-15,Punjab Kings,Kolkata Knight Riders,Punjab Kings,bat,Punjab Kings
550,2025,Delhi,"Arun Jaitley Stadium, Delhi",2025-04-16,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,
551,2025,Mumbai,"Wankhede Stadium, Mumbai",2025-04-17,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,Mumbai Indians
552,2025,Bengaluru,"M Chinnaswamy Stadium, Bengaluru",2025-04-18,Royal Challengers Bengaluru,Punjab Kings,Punjab Kings,field,Punjab Kings
553,2025,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",2025-04-19,Delhi Capitals,Gujarat Titans,Gujarat Titans,field,Gujarat Titans
554,2025,Jaipur,"Sawai Mansingh Stadium, Jaipur",2025-04-19,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,bat,Lucknow Super Giants
555,2025,Mohali,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",2025-04-20,Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru
556,2025,Mumbai,"Wankhede Stadium, Mumbai",2025-04-20,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Mumbai Indians
557,2025,Kolkata,"Eden Gardens, Kolkata",2025-04-21,Gujarat Titans,Kolkata Knight Riders,Kolkata Knight Riders,field,Gujarat Titans
558,2025,Lucknow,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2025-04-22,Lucknow Super Giants,Delhi Capitals,Delhi Capitals,field,Delhi Capitals
559,2025,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2025-04-23,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,Mumbai Indians
560,2025,Bengaluru,"M Chinnaswamy Stadium, Bengaluru",2025-04-24,Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,field,Royal Challengers Bengaluru
561,2025,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2025-04-25,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad
562,2025,Kolkata,"Eden Gardens, Kolkata",2025-04-26,Punjab Kings,Kolkata Knight Riders,Punjab Kings,bat,
563,2025,Mumbai,"Wankhede Stadium, Mumbai",2025-04-27,Mumbai Indians,Lucknow Super Giants,Lucknow Super Giants,field,Mumbai Indians
564,2025,Delhi,"Arun Jaitley Stadium, Delhi",2025-04-27,Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru
565,2025,Jaipur,"Sawai Mansingh Stadium, Jaipur",2025-04-28,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals
566,2025,Delhi,"Arun Jaitley Stadium, Delhi",2025-04-29,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,Kolkata Knight Riders
567,2025,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2025-04-30,Chennai Super Kings,Punjab Kings,Punjab Kings,field,Punjab Kings
568,2025,Jaipur,"Sawai Mansingh Stadium, Jaipur",2025-05-01,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Mumbai Indians
569,2025,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",2025-05-02,Gujarat Titans,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Gujarat Titans
570,2025,Bengaluru,"M Chinnaswamy Stadium, Bengaluru",2025-05-03,Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,field,Royal Challengers Bengaluru
571,2025,Kolkata,"Eden Gardens, Kolkata",2025-05-04,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,bat,Kolkata Knight Riders
572,2025,Dharamsala,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2025-05-04,Punjab Kings,Lucknow Super Giants,Lucknow Super Giants,field,Punjab Kings
573,2025,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2025-05-05,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,
574,2025,Mumbai,"Wankhede Stadium, Mumbai",2025-05-06,Mumbai Indians,Gujarat Titans,Gujarat Titans,field,Gujarat Titans
575,2025,Kolkata,"Eden Gardens, Kolkata",2025-05-07,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,Chennai Super Kings
576,2025,Dharamsala,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2025-05-08,Punjab Kings,Delhi Capitals,Punjab Kings,bat,
577,2025,Jaipur,"Sawai Mansingh Stadium, Jaipur",2025-05-18,Punjab Kings,Rajasthan Royals,Punjab Kings,bat,Punjab Kings
578,2025,Delhi,"Arun Jaitley Stadium, Delhi",2025-05-18,Delhi Capitals,Gujarat Titans,Gujarat Titans,field,Gujarat Titans
579,2025,Lucknow,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2025-05-19,Lucknow Super Giants,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad
580,2025,Delhi,"Arun Jaitley Stadium, Delhi",2025-05-20,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals
581,2025,Mumbai,"Wankhede Stadium, Mumbai",2025-05-21,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Mumbai Indians
582,2025,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",2025-05-22,Lucknow Super Giants,Gujarat Titans,Gujarat Titans,field,Lucknow Super Giants
583,2025,Lucknow,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2025-05-23,Sunrisers Hyderabad,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Sunrisers Hyderabad
584,2025,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",2025-05-25,Chennai Super Kings,Gujarat Titans,Chennai Super Kings,bat,Chennai Super Kings
585,2025,Delhi,"Arun Jaitley Stadium, Delhi",2025-05-25,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,Sunrisers Hyderabad
586,2025,Jaipur,"Sawai Mansingh Stadium, Jaipur",2025-05-26,Mumbai Indians,Punjab Kings,Punjab Kings,field,Punjab Kings
587,2025,Lucknow,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2025-05-27,Lucknow Super Giants,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru
588,2025,New Chandigarh,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",2025-05-29,Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru
589,2025,New Chandigarh,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",2025-05-30,Mumbai Indians,Gujarat Titans,Mumbai Indians,bat,Mumbai Indians
590,2025,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",2025-06-01,Mumbai Indians,Punjab Kings,Punjab Kings,field,Punjab Kings
591,2025,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",2025-06-03,Royal Challengers Bengaluru,Punjab Kings,Punjab Kings,field,Royal Challengers Bengaluru
592,2025,Jaipur,"Sawai Mansingh Stadium, Jaipur",2025-05-24,Punjab Kings,Delhi Capitals,Delhi Capitals,field,Delhi Capitals
593,2008,Bangalore,M Chinnaswamy Stadium,2008-04-18,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Kolkata Knight Riders
594,2008,Chandigarh,"Punjab Cricket Association Stadium, Mohali",2008-04-19,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings
595,2008,Delhi,Feroz Shah Kotla,2008-04-19,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,bat,Delhi Daredevils
596,2008,Mumbai,Wankhede Stadium,2008-04-20,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Royal Challengers Bangalore
597,2008,Kolkata,Eden Gardens,2008-04-20,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,bat,Kolkata Knight Riders
598,2008,Jaipur,Sawai Mansingh Stadium,2008-04-21,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,bat,Rajasthan Royals
599,2008,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2008-04-22,Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,Delhi Daredevils
600,2008,Chennai,"MA Chidambaram Stadium, Chepauk",2008-04-23,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Chennai Super Kings
601,2008,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2008-04-24,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals
602,2008,Chandigarh,"Punjab Cricket Association Stadium, Mohali",2008-04-25,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Kings XI Punjab
603,2008,Bangalore,M Chinnaswamy Stadium,2008-04-26,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals
604,2008,Chennai,"MA Chidambaram Stadium, Chepauk",2008-04-26,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,Chennai Super Kings
605,2008,Mumbai,Dr DY Patil Sports Academy,2008-04-27,Mumbai Indians,Deccan Chargers,Deccan Chargers,field,Deccan Chargers
606,2008,Chandigarh,"Punjab Cricket Association Stadium, Mohali",2008-04-27,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,bat,Kings XI Punjab
607,2008,Bangalore,M Chinnaswamy Stadium,2008-04-28,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings
608,2008,Kolkata,Eden Gardens,2008-04-29,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Mumbai Indians
609,2008,Delhi,Feroz Shah Kotla,2008-04-30,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Delhi Daredevils
610,2008,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2008-05-01,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab
611,2008,Jaipur,Sawai Mansingh Stadium,2008-05-01,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,Rajasthan Royals
612,2008,Chennai,"MA Chidambaram Stadium, Chepauk",2008-05-02,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,Delhi Daredevils
613,2008,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2008-05-25,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,bat,Royal Challengers Bangalore
614,2008,Chandigarh,"Punjab Cricket Association Stadium, Mohali",2008-05-03,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,bat,Kings XI Punjab
615,2008,Mumbai,Dr DY Patil Sports Academy,2008-05-04,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Mumbai Indians
616,2008,Jaipur,Sawai Mansingh Stadium,2008-05-04,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,bat,Rajasthan Royals
617,2008,Bangalore,M Chinnaswamy Stadium,2008-05-05,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab
618,2008,Chennai,"MA Chidambaram Stadium, Chepauk",2008-05-06,Chennai Super Kings,Deccan Chargers,Deccan Chargers,field,Deccan Chargers
619,2008,Mumbai,Dr DY Patil Sports Academy,2008-05-07,Mumbai Indians,Rajasthan Royals,Mumbai Indians,field,Mumbai Indians
620,2008,Delhi,Feroz Shah Kotla,2008-05-08,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings
621,2008,Kolkata,Eden Gardens,2008-05-08,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,Kolkata Knight Riders
622,2008,Jaipur,Sawai Mansingh Stadium,2008-05-09,Rajasthan Royals,Deccan Chargers,Rajasthan Royals,field,Rajasthan Royals
623,2008,Bangalore,M Chinnaswamy Stadium,2008-05-28,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Mumbai Indians
624,2008,Chennai,"MA Chidambaram Stadium, Chepauk",2008-05-10,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,field,Chennai Super Kings
625,2008,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2008-05-11,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,bat,Kolkata Knight Riders
626,2008,Jaipur,Sawai Mansingh Stadium,2008-05-11,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,field,Rajasthan Royals
627,2008,Chandigarh,"Punjab Cricket Association Stadium, Mohali",2008-05-12,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Kings XI Punjab
628,2008,Kolkata,Eden Gardens,2008-05-13,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,Kolkata Knight Riders
629,2008,Mumbai,Wankhede Stadium,2008-05-14,Mumbai Indians,Chennai Super Kings,Mumbai Indians,field,Mumbai Indians
630,2008,Chandigarh,"Punjab Cricket Association Stadium, Mohali",2008-05-28,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,Kings XI Punjab
631,2008,Delhi,Feroz Shah Kotla,2008-05-15,Delhi Daredevils,Deccan Chargers,Deccan Chargers,field,Delhi Daredevils
632,2008,Mumbai,Wankhede Stadium,2008-05-16,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Mumbai Indians
633,2008,Delhi,Feroz Shah Kotla,2008-05-17,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,Kings XI Punjab
634,2008,Jaipur,Sawai Mansingh Stadium,2008-05-17,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Rajasthan Royals
635,2008,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2008-05-18,Deccan Chargers,Mumbai Indians,Deccan Chargers,field,Mumbai Indians
636,2008,Kolkata,Eden Gardens,2008-05-18,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,Chennai Super Kings
637,2008,Bangalore,M Chinnaswamy Stadium,2008-05-19,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils
638,2008,Kolkata,Eden Gardens,2008-05-20,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals
639,2008,Mumbai,Wankhede Stadium,2008-05-21,Mumbai Indians,Kings XI Punjab,Mumbai Indians,field,Kings XI Punjab
640,2008,Chennai,"MA Chidambaram Stadium, Chepauk",2008-05-21,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Royal Challengers Bangalore
641,2008,Chandigarh,"Punjab Cricket Association Stadium, Mohali",2008-05-23,Kings XI Punjab,Deccan Chargers,Kings XI Punjab,field,Kings XI Punjab
642,2008,Delhi,Feroz Shah Kotla,2008-05-24,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,field,Delhi Daredevils
643,2008,Chennai,"MA Chidambaram Stadium, Chepauk",2008-05-24,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,bat,Rajasthan Royals
644,2008,Bangalore,M Chinnaswamy Stadium,2008-05-03,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,field,Royal Challengers Bangalore
645,2008,Kolkata,Eden Gardens,2008-05-25,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,bat,Kolkata Knight Riders
646,2008,Jaipur,Sawai Mansingh Stadium,2008-05-26,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,field,Rajasthan Royals
647,2008,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2008-05-27,Deccan Chargers,Chennai Super Kings,Deccan Chargers,bat,Chennai Super Kings
648,2008,Mumbai,Wankhede Stadium,2008-05-30,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,field,Rajasthan Royals
649,2008,Mumbai,Wankhede Stadium,2008-05-31,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,bat,Chennai Super Kings
650,2008,Mumbai,Dr DY Patil Sports Academy,2008-06-01,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals
651,2009,Cape Town,Newlands,2009-04-18,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,field,Mumbai Indians
652,2009,Cape Town,Newlands,2009-04-18,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,Royal Challengers Bangalore
653,2009,Cape Town,Newlands,2009-04-19,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,field,Delhi Daredevils
654,2009,Cape Town,Newlands,2009-04-19,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,bat,Deccan Chargers
655,2009,Port Elizabeth,St George's Park,2009-04-20,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings
656,2009,Durban,Kingsmead,2009-04-21,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders
